step,deep_void,void,near_void,sub_filament,cool_filament,warm_filament,proto_cluster,cluster_halo,cluster_core,extreme_peak
0,0.0,0.006342,0.781584,24.700975,54.081678,18.282795,1.919508,0.203228,0.02265,0.00124
1,0.0,0.006485,0.810003,24.931383,53.909254,18.192816,1.921415,0.204659,0.022602,0.001383
2,0.0,0.006676,0.83952,25.167513,53.729057,18.10689,1.92008,0.206518,0.022364,0.001383
3,0.0,0.007105,0.870705,25.403547,53.548861,18.01734,1.920605,0.207853,0.022602,0.001383
4,0.0,0.007391,0.901651,25.623655,53.377819,17.938423,1.918507,0.208664,0.022554,0.001335
5,0.0,0.007677,0.932217,25.841379,53.210115,17.858362,1.916695,0.209856,0.022507,0.001192
6,0.0,0.008059,0.963783,26.052332,53.048944,17.775393,1.917076,0.210524,0.022554,0.001335
7,0.0,0.008583,0.995016,26.259136,52.889347,17.698765,1.91474,0.210094,0.022888,0.001431
8,0.0,0.00906,1.025963,26.455736,52.733946,17.626858,1.912498,0.211334,0.023031,0.001574
9,0.0,0.009584,1.055336,26.638412,52.596521,17.550087,1.912975,0.212908,0.02265,0.001526
10,0.0,0.010014,1.085329,26.83239,52.444887,17.478466,1.912165,0.212955,0.022316,0.001478
11,0.0,0.010395,1.114655,27.018356,52.302217,17.405891,1.910925,0.213432,0.022602,0.001526
12,0.0,0.010824,1.145649,27.205753,52.153158,17.335701,1.910973,0.213766,0.022554,0.001621
13,0.0,0.01111,1.176643,27.396917,51.998329,17.269421,1.909304,0.214386,0.022364,0.001526
14,0.0,0.01173,1.208639,27.565718,51.857519,17.211866,1.905489,0.215006,0.022554,0.001478
15,0.0,0.012398,1.239109,27.742577,51.711893,17.153358,1.900625,0.215483,0.023127,0.001431
16,0.0,0.012779,1.270294,27.911997,51.5697,17.09466,1.900578,0.215483,0.023079,0.001431
17,0.0,0.013447,1.302481,28.071165,51.442766,17.030764,1.898956,0.21553,0.023365,0.001526
18,0.0,0.013638,1.335764,28.238058,51.302767,16.971493,1.897478,0.216103,0.023079,0.001621
19,0.0,0.014639,1.365805,28.398752,51.16787,16.91494,1.89662,0.216389,0.023317,0.001669
20,0.0,0.015354,1.396847,28.560543,51.038074,16.853046,1.893425,0.217581,0.023317,0.001812
21,0.0,0.016356,1.431131,28.715944,50.903845,16.798115,1.891088,0.218344,0.023365,0.001812
22,0.0,0.016975,1.46451,28.87907,50.767374,16.738653,1.888561,0.219488,0.023651,0.001717
23,0.0,0.017643,1.497126,29.040289,50.629044,16.684198,1.88632,0.220108,0.023699,0.001574
24,0.0,0.01874,1.528072,29.190969,50.503349,16.628313,1.885223,0.219822,0.023794,0.001717
25,0.0,0.019407,1.562786,29.339504,50.369453,16.581678,1.880264,0.221205,0.02389,0.001812
26,0.0,0.020218,1.59831,29.494143,50.230646,16.530895,1.877975,0.222206,0.023699,0.001907
27,0.0,0.02079,1.631784,29.645109,50.098991,16.478539,1.876783,0.222588,0.023413,0.002003
28,0.0,0.021267,1.668453,29.792595,49.966145,16.428947,1.873922,0.223064,0.023556,0.00205
29,0.0,0.022078,1.70269,29.936218,49.838972,16.377258,1.873302,0.224066,0.023365,0.00205
30,0.0,0.02346,1.736403,30.086994,49.707699,16.324854,1.871681,0.223494,0.023365,0.00205
31,0.0,0.024748,1.773119,30.237722,49.573421,16.271544,1.869869,0.224352,0.023174,0.00205
32,0.0,0.025845,1.809645,30.382729,49.448681,16.214037,1.869297,0.224972,0.02284,0.001955
33,0.0,0.026751,1.848221,30.520582,49.325848,16.161251,1.867151,0.225496,0.02284,0.00186
34,0.0,0.027943,1.885366,30.673075,49.196005,16.102982,1.863718,0.226307,0.022697,0.001907
35,0.0,0.029469,1.928043,30.809832,49.068689,16.051054,1.860809,0.227165,0.023079,0.00186
36,0.0,0.030708,1.965189,30.956221,48.933125,16.00318,1.858425,0.228596,0.022745,0.001812
37,0.0,0.031853,2.003574,31.09479,48.806572,15.953684,1.854897,0.22974,0.023031,0.00186
38,0.0,0.033283,2.039766,31.234217,48.67897,15.902472,1.855516,0.231171,0.022697,0.001907
39,0.0,0.034809,2.077961,31.377077,48.54579,15.853405,1.854181,0.231934,0.023079,0.001764
40,0.0,0.036049,2.117586,31.522942,48.409271,15.80534,1.849937,0.234032,0.023079,0.001764
41,0.0,0.037241,2.155209,31.664038,48.277426,15.758991,1.846123,0.235891,0.023317,0.001764
42,0.0,0.038767,2.192688,31.797695,48.15073,15.712881,1.846504,0.235128,0.023842,0.001764
43,0.0,0.04077,2.234697,31.929731,48.027945,15.660667,1.845789,0.234842,0.023794,0.001764
44,0.0,0.042486,2.278042,32.068253,47.892761,15.614748,1.842642,0.235605,0.023746,0.001717
45,0.0,0.04425,2.315474,32.20067,47.774124,15.562344,1.840687,0.23694,0.023794,0.001717
46,0.0,0.046062,2.351713,32.340717,47.646332,15.516567,1.836014,0.237036,0.023842,0.001717
47,0.0,0.047731,2.394438,32.468128,47.527266,15.464878,1.834345,0.23818,0.02327,0.001764
48,0.0,0.050354,2.437639,32.599068,47.396469,15.421486,1.831388,0.238848,0.022888,0.00186
49,0.0,0.052118,2.479744,32.729292,47.272825,15.371275,1.830387,0.239468,0.022984,0.001907
50,0.0,0.054312,2.521753,32.857418,47.147799,15.324259,1.828861,0.24066,0.022984,0.001955
51,0.0,0.056696,2.56381,32.980204,47.027493,15.281248,1.824093,0.240993,0.023603,0.00186
52,0.0,0.058937,2.604628,33.100271,46.911573,15.23428,1.822138,0.242615,0.023746,0.001812
53,0.0,0.061417,2.646542,33.220482,46.792078,15.189934,1.819038,0.244522,0.024271,0.001717
54,0.0,0.063324,2.69084,33.344078,46.666574,15.147781,1.814365,0.247431,0.023842,0.001764
55,0.0,0.066185,2.736235,33.464861,46.542263,15.102291,1.814365,0.247765,0.024271,0.001764
56,0.0,0.068378,2.784061,33.590603,46.417046,15.055513,1.809454,0.24786,0.025272,0.001812
57,0.0,0.070715,2.830601,33.707857,46.298838,15.00864,1.80707,0.249195,0.025272,0.001812
58,0.0,0.072527,2.878284,33.829498,46.17486,14.961815,1.804924,0.250816,0.025511,0.001764
59,0.0,0.075722,2.923775,33.950138,46.053028,14.915609,1.802397,0.251818,0.025654,0.00186
60,0.0,0.078583,2.969551,34.069014,45.930433,14.871407,1.801729,0.25177,0.025558,0.001955
61,0.0,0.081158,3.018904,34.191847,45.800972,14.826155,1.8013,0.252295,0.025511,0.00186
62,0.0,0.08359,3.066635,34.307623,45.68181,14.781904,1.797199,0.254154,0.025177,0.001907
63,0.0,0.086689,3.115416,34.418154,45.564795,14.73794,1.795959,0.253582,0.025511,0.001955
64,0.0,0.089884,3.165007,34.530973,45.445919,14.689445,1.797199,0.253487,0.026131,0.001955
65,0.0,0.092649,3.215408,34.64942,45.319796,14.644623,1.797104,0.252676,0.026464,0.00186
66,0.0,0.09551,3.268385,34.760237,45.204496,14.594793,1.795626,0.252438,0.026655,0.00186
67,0.0,0.098991,3.318405,34.874582,45.07699,14.55493,1.794243,0.253439,0.026512,0.001907
68,0.0,0.102806,3.368187,34.988689,44.960022,14.507532,1.790142,0.254536,0.026083,0.002003
69,0.0,0.106335,3.418779,35.100698,44.837284,14.46352,1.79081,0.25444,0.026226,0.001907
70,0.0,0.109673,3.467941,35.209227,44.721699,14.420033,1.78833,0.254822,0.026274,0.002003
71,0.0,0.11282,3.520155,35.316277,44.601917,14.378929,1.786184,0.255537,0.026178,0.002003
72,0.0,0.116396,3.571749,35.422945,44.486046,14.331532,1.788044,0.254869,0.026417,0.002003
73,0.0,0.119829,3.625393,35.532999,44.367075,14.283991,1.786995,0.255919,0.025892,0.001907
74,0.0,0.123262,3.67732,35.636473,44.249868,14.24284,1.786852,0.255775,0.025654,0.001955
75,0.0,0.127983,3.730059,35.737467,44.13414,14.199829,1.787043,0.255919,0.025511,0.00205
76,0.0,0.132465,3.782415,35.847902,44.006777,14.160109,1.785183,0.257301,0.025797,0.00205
77,0.0,0.136662,3.837013,35.953426,43.883705,14.118719,1.785135,0.257397,0.025892,0.00205
78,4.8e-05,0.140524,3.89204,36.063814,43.756533,14.077425,1.784039,0.25773,0.025797,0.00205
79,9.5e-05,0.144243,3.947449,36.168242,43.635893,14.033794,1.784611,0.257635,0.025988,0.00205
80,0.000143,0.148726,3.999472,36.273098,43.515825,13.994884,1.781464,0.258636,0.025702,0.00205
81,0.000238,0.15378,4.055834,36.367607,43.404007,13.953161,1.779127,0.258112,0.026083,0.00205
82,0.000238,0.159216,4.109955,36.466551,43.286991,13.911772,1.77784,0.25959,0.025797,0.00205
83,0.000238,0.16408,4.164886,36.572266,43.159866,13.875389,1.776457,0.259209,0.025511,0.002098
84,0.000286,0.16923,4.223919,36.662483,43.045998,13.833237,1.777267,0.259638,0.025845,0.002098
85,0.000286,0.173712,4.281759,36.75952,42.931414,13.790083,1.774883,0.260305,0.025988,0.00205
86,0.000429,0.178385,4.341602,36.850262,42.819262,13.746929,1.77393,0.261068,0.02594,0.002193
87,0.000429,0.183868,4.395151,36.949873,42.701197,13.706303,1.77331,0.261784,0.025892,0.002193
88,0.000477,0.189209,4.449606,37.045288,42.588663,13.66415,1.772833,0.262117,0.025368,0.002289
89,0.000525,0.195169,4.503393,37.146807,42.468214,13.623762,1.771593,0.262642,0.025606,0.002289
90,0.000572,0.200129,4.563904,37.230873,42.362928,13.579702,1.770687,0.263405,0.025558,0.002241
91,0.00062,0.205183,4.623842,37.315607,42.259121,13.535023,1.768637,0.264025,0.025702,0.002241
92,0.000715,0.210762,4.685116,37.398386,42.152119,13.492346,1.767874,0.264788,0.025654,0.002241
93,0.000763,0.215721,4.743624,37.488842,42.038536,13.452578,1.766539,0.265551,0.025702,0.002146
94,0.000811,0.221109,4.80361,37.570333,41.934395,13.410711,1.765633,0.265741,0.025558,0.002098
95,0.000811,0.226498,4.86269,37.661409,41.820574,13.36937,1.764917,0.265884,0.025749,0.002098
96,0.000906,0.232458,4.920912,37.747049,41.714382,13.327265,1.763153,0.26598,0.025797,0.002098
97,0.001001,0.237608,4.980803,37.826014,41.603851,13.295746,1.760006,0.266886,0.02594,0.002146
98,0.001097,0.243998,5.040741,37.896824,41.503143,13.258314,1.759768,0.268078,0.025845,0.002193
99,0.001192,0.250292,5.101061,37.98089,41.389418,13.222122,1.758814,0.268173,0.025702,0.002337
